#,t,action_type,mo,location,value,wval,rf
555,2,atomic read,relaxed,0x602084,137,?,554
556,2,atomic write,relaxed,0x602084,138,?,?
557,3,atomic read,relaxed,0x602084,136,?,552
558,3,atomic write,relaxed,0x602084,137,?,?
559,3,atomic read,relaxed,0x602084,137,?,554
560,3,atomic write,relaxed,0x602084,138,?,?
561,2,atomic read,relaxed,0x602084,138,?,556
562,2,atomic write,relaxed,0x602084,139,?,?
563,2,atomic read,relaxed,0x602084,138,?,560
564,2,atomic write,relaxed,0x602084,139,?,?
565,3,atomic read,relaxed,0x602084,138,?,560
566,3,atomic write,relaxed,0x602084,139,?,?
567,2,atomic read,relaxed,0x602084,139,?,566
568,2,atomic write,relaxed,0x602084,140,?,?
569,2,atomic read,relaxed,0x602084,140,?,568
570,2,atomic write,relaxed,0x602084,141,?,?
571,2,atomic read,relaxed,0x602084,141,?,570
572,2,atomic write,relaxed,0x602084,142,?,?
573,3,atomic read,relaxed,0x602084,141,?,570
574,3,atomic write,relaxed,0x602084,142,?,?
575,2,atomic read,relaxed,0x602084,142,?,574
576,2,atomic write,relaxed,0x602084,143,?,?
577,3,atomic read,relaxed,0x602084,142,?,574
578,3,atomic write,relaxed,0x602084,143,?,?
579,2,atomic read,relaxed,0x602084,143,?,576
580,2,atomic write,relaxed,0x602084,144,?,?
581,3,atomic read,relaxed,0x602084,144,?,580
582,3,atomic write,relaxed,0x602084,145,?,?
583,3,thread finish,seq_cst,0x7fb4c6013f98,-559038737,?,?
584,2,atomic read,relaxed,0x602084,145,?,582
585,2,atomic write,relaxed,0x602084,146,?,?
586,2,atomic read,relaxed,0x602084,146,?,585
587,2,atomic write,relaxed,0x602084,147,?,?
588,2,atomic read,relaxed,0x602084,147,?,587
589,2,atomic write,relaxed,0x602084,148,?,?
590,2,atomic read,relaxed,0x602084,148,?,589
591,2,atomic write,relaxed,0x602084,149,?,?
592,2,atomic read,relaxed,0x602084,149,?,591
593,2,atomic write,relaxed,0x602084,150,?,?
594,2,atomic read,relaxed,0x602084,150,?,593
595,2,atomic write,relaxed,0x602084,151,?,?
596,2,atomic read,relaxed,0x602084,151,?,595
597,2,atomic write,relaxed,0x602084,152,?,?
598,2,atomic read,relaxed,0x602084,152,?,597
599,2,atomic write,relaxed,0x602084,153,?,?
600,2,atomic read,relaxed,0x602084,153,?,599
601,2,atomic write,relaxed,0x602084,154,?,?
602,2,atomic read,relaxed,0x602084,154,?,601
603,2,atomic write,relaxed,0x602084,155,?,?
604,2,atomic read,relaxed,0x602084,155,?,603
605,2,atomic write,relaxed,0x602084,156,?,?
606,2,atomic read,relaxed,0x602084,156,?,605
607,2,atomic write,relaxed,0x602084,157,?,?
608,2,atomic read,relaxed,0x602084,157,?,607
609,2,atomic write,relaxed,0x602084,158,?,?
610,2,thread finish,seq_cst,0x7fb4c5e12a18,-559038737,?,?
611,1,pthread join,seq_cst,0x7fb4c5e12a18,2,?,?
612,1,pthread join,seq_cst,0x7fb4c6013f98,3,?,?
613,1,pthread join,seq_cst,0x7fb4c62154e8,4,?,?
614,1,atomic read,relaxed,0x602084,158,?,609
615,1,thread finish,seq_cst,0x7fb4c46910d0,-559038737,?,?
